project_id,project_name,construct_id,construct_identifier,spec_id,spec_name,task,model,score,prompt_id,metric_name,metric_measurements,metric_count
114ba2fa-8bae-4e19-8f46-3fbef23b4a98,BitNet,97ab3b7b-25c1-49eb-aebb-51764115ae2d,ggml.c:3289-3325,a7c39683-1b1e-485e-8574-369bf9c88f03,gpt-4-o-88f03,Performance,gpt-41,0.0,acd8e185-a9d2-4cb7-a219-71158c0f122a,llm_score,0.0,1
114ba2fa-8bae-4e19-8f46-3fbef23b4a98,BitNet,97ab3b7b-25c1-49eb-aebb-51764115ae2d,ggml.c:3289-3325,a7c39683-1b1e-485e-8574-369bf9c88f03,gpt-4-o-88f03,Performance,claude-v37-sonnet,1.5,acd8e185-a9d2-4cb7-a219-71158c0f122a,llm_score,1.5,1
114ba2fa-8bae-4e19-8f46-3fbef23b4a98,BitNet,97ab3b7b-25c1-49eb-aebb-51764115ae2d,ggml.c:3289-3325,a7c39683-1b1e-485e-8574-369bf9c88f03,gpt-4-o-88f03,Performance,gemini-v25-pro,-1.5,acd8e185-a9d2-4cb7-a219-71158c0f122a,llm_score,-1.5,1
114ba2fa-8bae-4e19-8f46-3fbef23b4a98,BitNet,97ab3b7b-25c1-49eb-aebb-51764115ae2d,ggml.c:3289-3325,a7c39683-1b1e-485e-8574-369bf9c88f03,gpt-4-o-88f03,Quality,claude-v37-sonnet,1.5,5d45ab71-6ae3-454f-b2c8-215fd636ce42,llm_score,1.5,1
114ba2fa-8bae-4e19-8f46-3fbef23b4a98,BitNet,97ab3b7b-25c1-49eb-aebb-51764115ae2d,ggml.c:3289-3325,a7c39683-1b1e-485e-8574-369bf9c88f03,gpt-4-o-88f03,Quality,gpt-41,2.0,5d45ab71-6ae3-454f-b2c8-215fd636ce42,llm_score,2.0,1
114ba2fa-8bae-4e19-8f46-3fbef23b4a98,BitNet,97ab3b7b-25c1-49eb-aebb-51764115ae2d,ggml.c:3289-3325,a7c39683-1b1e-485e-8574-369bf9c88f03,gpt-4-o-88f03,Quality,gemini-v25-pro,2.0,5d45ab71-6ae3-454f-b2c8-215fd636ce42,llm_score,2.0,1
114ba2fa-8bae-4e19-8f46-3fbef23b4a98,BitNet,97ab3b7b-25c1-49eb-aebb-51764115ae2d,ggml.c:3289-3325,3b9bca93-3610-4d38-b966-3a935ed1dd45,gpt-4-o-1dd45,Performance,gpt-41,0.0,acd8e185-a9d2-4cb7-a219-71158c0f122a,llm_score,0.0,1
114ba2fa-8bae-4e19-8f46-3fbef23b4a98,BitNet,97ab3b7b-25c1-49eb-aebb-51764115ae2d,ggml.c:3289-3325,3b9bca93-3610-4d38-b966-3a935ed1dd45,gpt-4-o-1dd45,Performance,claude-v37-sonnet,1.0999999999999996,acd8e185-a9d2-4cb7-a219-71158c0f122a,llm_score,1.0999999999999996,1
114ba2fa-8bae-4e19-8f46-3fbef23b4a98,BitNet,97ab3b7b-25c1-49eb-aebb-51764115ae2d,ggml.c:3289-3325,3b9bca93-3610-4d38-b966-3a935ed1dd45,gpt-4-o-1dd45,Performance,gemini-v25-pro,-1.0,acd8e185-a9d2-4cb7-a219-71158c0f122a,llm_score,-1.0,1
114ba2fa-8bae-4e19-8f46-3fbef23b4a98,BitNet,97ab3b7b-25c1-49eb-aebb-51764115ae2d,ggml.c:3289-3325,3b9bca93-3610-4d38-b966-3a935ed1dd45,gpt-4-o-1dd45,Quality,gpt-41,2.0,5d45ab71-6ae3-454f-b2c8-215fd636ce42,llm_score,2.0,1
